ano;partido_Paracatu;partido_Lucas;partido_Parauapebas;partido_São Paulo;prefeito - Paracatu;prefeito - Lucas;Prefeito-Para;Prefeito_SP;popul_paracatu;popul_lucas;popul_Parauapeba;popul_sp
1984;PSDB;Neunhum;Neunhum;PMDB;Diogo Soares;Neunhum;Neunhum;Mário Covas;53968;3753;24701;8908559
1985;PSDB;Neunhum;Neunhum;PMDB;Diogo Soares;Neunhum;Neunhum;Mário Covas;55261;4185;28905;9016887
1986;PSDB;Neunhum;Neunhum;PTB;Diogo Soares;Neunhum;Neunhum;Janio Quadros;56542;4613;33070;9124164
1987;PSDB;Neunhum;Neunhum;PTB;Diogo Soares;Neunhum;Neunhum;Janio Quadros;57805;5034;33176;9229936
1988;PSDB;Neunhum;Neunhum;PTB;Diogo Soares;Neunhum;Neunhum;Janio Quadros;59041;5500;41197;9333514
1989;PDT;PMDB;PTB;PT;Arquimedes Borges;Werner Haroldo Kothrade;Faisal Salmen;Luiza Erundina;60246;5849;45114;9434408
1990;PDT;PMDB;PTB;PT;Arquimedes Borges;Werner Haroldo Kothrade;Faisal Salmen;Luiza Erundina;61421;6241;48936;9532859
1991;PDT;PMDB;PTB;PT;Arquimedes Borges;Werner Haroldo Kothrade;Faisal Salmen;Luiza Erundina;62774;6693;53335;9646185
1992;PDT;PMDB;PTB;PT;Arquimedes Borges;Werner Haroldo Kothrade;Faisal Salmen;Luiza Erundina;63730;7772;51606;9681178
1993;Neunhum;PPB;Neunhum;PDS;Manoel Borges;Paulo Vicente Nunes;Chico das Cortinas;Paulo Maluf;65275;7580;51318;9842058
1994;Neunhum;PPB;Neunhum;PPR;Manoel Borges;Paulo Vicente Nunes;Chico das Cortinas;Paulo Maluf;66013;7813;52491;9994168
1995;Neunhum;PPB;Neunhum;PPR;Manoel Borges;Paulo Vicente Nunes;Chico das Cortinas;Paulo Maluf;66731;8045;53636;10142505
1996;Neunhum;PPB;Neunhum;PPB;Manoel Borges;Paulo Vicente Nunes;Chico das Cortinas;Paulo Maluf;68047;12647;74702;9839066
1997;PT;PDT;PSDB;PPB;Almir Paraca Cristovão;Otaviano Olavo Pivetta;Bel Mesquita;Paulo Maluf;69911;13690;68362;9887616
1998;PT;PDT;PSDB;PPB;Almir Paraca Cristovão;Otaviano Olavo Pivetta;Bel Mesquita;Celso Pitta;71480;14573;72402;9928219
1999;PT;PDT;PSDB;PPB;Almir Paraca Cristovão;Otaviano Olavo Pivetta;Bel Mesquita;Celso Pitta;73062;15455;76452;9968485
2000;PT;PDT;PSDB;PTN;Almir Paraca Cristovão;Otaviano Olavo Pivetta;Bel Mesquita;Celso Pitta;75216;19316;71568;10434252
2001;AVANTE;PDT;PMDB;PTN;Arquimedes Borges;Otaviano Olavo Pivetta;Bel Mesquita;Celso Pitta;76708;20873;75526;10499133
2002;AVANTE;PDT;PMDB;PT;Arquimedes Borges;Otaviano Olavo Pivetta;Bel Mesquita;Marta Maluf;77836;21972;78303;10600059
2003;AVANTE;PDT;PMDB;PT;Arquimedes Borges;Otaviano Olavo Pivetta;Bel Mesquita;Marta Maluf;79048;23205;81427;10677017
2004;AVANTE;PDT;PMDB;PT;Arquimedes Borges;Otaviano Olavo Pivetta;Bel Mesquita;Marta Maluf;80259;25792;84547;10753768
2005;PMDB;PPS;PMDB;PT;Vasco Praça Filho;Marino José Franz;Darci Lermen;Marta Maluf;83012;27224;91618;10927985
2006;PMDB;PPS;PMDB;PSDB;Vasco Praça Filho;Marino José Franz;Darci Lermen;Jose Serra;84411;28646;95227;11016708
2007;PMDB;PPS;PMDB;PFL;Vasco Praça Filho;Marino José Franz;Darci Lermen;Gilberto Kassab;85801;30741;98794;11104715
2008;PMDB;PPS;PMDB;DEM;Vasco Praça Filho;Marino José Franz;Darci Lermen;Gilberto Kassab;82850;32255;145326;10990249
2009;PMDB;PPS;PT;DEM;Vasco Praça Filho;Marino José Franz;Darci Lermen;Gilberto Kassab;83557;35556;152779;11037590
2010;PMDB;PPS;PT;DEM;Vasco Praça Filho;Marino José Franz;Darci Lermen;Gilberto Kassab;84743;45556;153908;11253503
2011;PMDB;PPS;PT;DEM;Vasco Praça Filho;Marino José Franz;Darci Lermen;Gilberto Kassab;85448;47571;160229;11316119
2012;PMDB;PPS;PT;PSD;Vasco Praça Filho;Marino José Franz;Darci Lermen;Gilberto Kassab;88153;49519;166342;11373685
2013;PSDB;PDT;PSD;PSD;Olavo Remígio Cond;Otaviano Olavo Pivetta;Valmis Mariano;Gilberto Kassab;89530;52843;176582;11821873
2014;PSDB;PDT;PSD;PT;Olavo Remígio Cond;Otaviano Olavo Pivetta;Valmis Mariano;Fernando Haddad;90294;55094;183352;11895893
2015;PSDB;PDT;PSD;PT;Olavo Remígio Cond;Otaviano Olavo Pivetta;Valmis Mariano;Fernando Haddad;91027;57285;189921;11967825
2016;PSDB;PDT;PSD;PT;Olavo Remígio Cond;Otaviano Olavo Pivetta;Valmis Mariano;Fernando Haddad;91724;59436;196259;12038175
2017;PSDB;PSDB;MDB;PT;Olavo Remígio Cond;Flori Luiz Binotti;Darci Lermen;Fernando Haddad;92386;61515;202356;12106920
2018;PSDB;PSDB;MDB;PSDB;Olavo Remígio Cond;Flori Luiz Binotti;Darci Lermen;João Doria;92430;63441;202882;12176866
2019;PSDB;PSDB;MDB;PSDB;Olavo Remígio Cond;Flori Luiz Binotti;Darci Lermen;Bruno Covas;93158;65534;208273;12252023
2020;PSDB;PSDB;MDB;PSDB;Olavo Remígio Cond;Flori Luiz Binotti;Darci Lermen;Bruno Covas;93862;67620;213576;12325232
2021;DEM;Republicanos;MDB;MDB;Igor Santos;SANDRA BARZOTTO;Darci Lermen;Ricardo Nunes;94539;69671;218787;13396372
2022;DEM;Republicanos;MDB;MDB;Igor Santos;SANDRA BARZOTTO;Darci Lermen;Ricardo Nunes;94023;83798;266424;11451245
2023;DEM;Republicanos;MDB;MDB;Igor Santos;SANDRA BARZOTTO;Darci Lermen;Ricardo Nunes;94023;83770;267836;11451999
