Municipio;Real;Predito;Erro;Metrica;Janelas
São Paulo;989505.36;991047.3130746669;0.16;des_NE;1
São Paulo;876764.6;883891.89;0.81;des_NO;3
São Paulo;663593.85;663593.85;0.0;des_SE;1
São Paulo;916396.65;916194.1545482276;0.02;des_SO;1
São Paulo;738322.4;736757.8560546928;0.21;mat_NE;1
São Paulo;837564.51;826616.8948823636;1.32;mat_NO;3
São Paulo;1133347.02;1133347.02;0.0;mat_SE;1
São Paulo;866505.62;867172.6192961973;0.08;mat_SO;1
São Paulo;12252023000000.0;12347550542857.143;0.78;populacao;1
Paracatu;51912.71;38721.072571611396;34.07;des_NE;3
Paracatu;28437.12;30354.799735202836;6.74;des_NO;3
Paracatu;57214.92;48498.54658681811;17.97;des_SE;1
Paracatu;43906.99;35819.292307692325;22.58;des_SO;1
Paracatu;17968.1;21357.32;18.86;mat_NE;3
Paracatu;40897.75;36613.32718554469;11.7;mat_NO;1
Paracatu;15461.13;24393.891961466867;57.78;mat_SE;1
Paracatu;28201.28;36288.973076923096;28.68;mat_SO;1
Paracatu;94023000.0;95330801.34741476;1.39;populacao;3
Parauapebas;258.69;623.5745454545454;141.05;des_NE;1
Parauapebas;451.49;854.7516956136847;89.32;des_NO;1
Parauapebas;388.51;696.5036363636361;79.28;des_SE;1
Parauapebas;444.71;929.0958721623621;108.92;des_SO;1
Parauapebas;2841.66;2476.770909090909;14.73;mat_NE;1
Parauapebas;2624.64;2652.73;1.07;mat_NO;3
Parauapebas;2835.85;2527.8563636363633;12.18;mat_SE;1
Parauapebas;2754.46;2270.3010082310884;21.33;mat_SO;1
Parauapebas;213576000.0;252739000.0;18.34;populacao;3
Lucas do Rio Verde;62779.7;60385.866363636356;3.96;des_NE;1
Lucas do Rio Verde;47710.5;49241.89909090908;3.21;des_NO;1
Lucas do Rio Verde;64094.58;65216.52454545453;1.75;des_SE;1
Lucas do Rio Verde;53558.25;53478.03545454544;0.15;des_SO;1
Lucas do Rio Verde;29492.5;31886.339090909085;8.12;mat_NE;1
Lucas do Rio Verde;43840.83;42309.426363636354;3.62;mat_NO;1
Lucas do Rio Verde;31868.51;30746.56545454545;3.65;mat_SE;1
Lucas do Rio Verde;41655.13;41735.344545454536;0.19;mat_SO;1
Lucas do Rio Verde;83798000.0;83379296.76788868;0.5;populacao;3
